Wavelength (nm),basic,Acid,10-10,12-8,14-6,16-4,18-2
729.50,-0.005355,-0.008323,-0.001657,-0.005822,-0.000055,-0.005986,0.000432
729.00,-0.004089,-0.005404,0.000414,-0.005888,0.002967,-0.005288,-0.000172
728.50,-0.003701,-0.004769,0.000437,-0.006776,0.001258,-0.006903,0.000737
728.00,-0.005303,-0.004855,0.000298,-0.006387,0.001860,-0.004403,-0.000290
727.50,-0.004510,-0.006943,-0.000938,-0.006333,0.000000,-0.007342,-0.001168
727.00,-0.005840,-0.009175,-0.001202,-0.007601,-0.002106,-0.007622,-0.001829
726.50,-0.005362,-0.006476,-0.000588,-0.008451,-0.001446,-0.006517,-0.000305
726.00,-0.007599,-0.007138,-0.001447,-0.007508,-0.001162,-0.006767,0.000610
725.50,-0.006508,-0.008036,-0.000285,-0.009432,0.000107,-0.006508,-0.003548
725.00,-0.003798,-0.007764,0.000744,-0.005013,-0.000597,-0.004882,-0.000658
724.50,-0.004970,-0.007252,-0.000771,-0.006692,-0.001137,-0.005248,-0.000530
724.00,-0.004406,-0.007588,-0.000123,-0.007060,0.000611,-0.006391,-0.001085
723.50,-0.003271,-0.005042,0.001429,-0.006242,-0.001348,-0.005235,0.000797
723.00,-0.005273,-0.006559,-0.002188,-0.008126,-0.001358,-0.006624,-0.001315
722.50,-0.003997,-0.005782,0.000404,-0.006244,0.000139,-0.006288,-0.000808
722.00,-0.007410,-0.006042,-0.000754,-0.006934,-0.001460,-0.007351,-0.002840
721.50,-0.003514,-0.006455,-0.000670,-0.005440,-0.001129,-0.004112,0.001101
721.00,-0.002983,-0.004317,0.002227,-0.004594,0.002809,-0.004391,0.000847
720.50,-0.005496,-0.006085,-0.000482,-0.008495,-0.001562,-0.007037,-0.002629
720.00,-0.005088,-0.004962,0.000626,-0.006417,-0.000115,-0.005510,-0.000187
719.50,-0.005215,-0.005219,-0.001248,-0.006459,0.000253,-0.005262,0.000510
719.00,-0.006804,-0.006912,-0.001911,-0.006568,-0.002771,-0.008069,-0.002403
718.50,-0.003533,-0.006620,-0.001037,-0.007674,0.000492,-0.005237,-0.000724
718.00,-0.007946,-0.009279,-0.001697,-0.008622,-0.000064,-0.005692,-0.001621
717.50,-0.004817,-0.007487,-0.004984,-0.006555,-0.001427,-0.006100,-0.000804
717.00,-0.005736,-0.006524,-0.000590,-0.006256,-0.001575,-0.006038,-0.000123
716.50,-0.003456,-0.004439,-0.000426,-0.007020,0.001969,-0.005108,-0.000159
716.00,-0.003909,-0.006800,0.000888,-0.004812,-0.000142,-0.005105,-0.001168
715.50,-0.005811,-0.005684,-0.001044,-0.005565,-0.000696,-0.006413,-0.000997
715.00,-0.004952,-0.005899,0.001751,-0.004562,0.000940,-0.006318,0.001130
714.50,-0.005630,-0.007101,-0.000871,-0.006523,-0.000541,-0.006360,-0.002577
714.00,-0.004478,-0.006217,-0.000158,-0.006762,0.000443,-0.004353,0.000715
713.50,-0.003331,-0.005766,0.001678,-0.005607,0.001810,-0.004774,0.000012
713.00,-0.004109,-0.005693,-0.001390,-0.005699,-0.002041,-0.005778,-0.000892
712.50,-0.005741,-0.006717,-0.000444,-0.005263,-0.000889,-0.006901,-0.000331
712.00,-0.004377,-0.006062,0.000151,-0.005496,-0.000288,-0.006206,0.001418
711.50,-0.004453,-0.004655,0.002181,-0.003390,0.002151,-0.004778,0.000696
711.00,-0.005668,-0.006160,0.000011,-0.007686,0.001146,-0.006102,-0.000453
710.50,-0.004938,-0.005611,0.000790,-0.005158,-0.001119,-0.006087,0.000183
710.00,-0.003991,-0.005133,-0.000600,-0.005522,0.001304,-0.004467,0.001125
709.50,-0.003072,-0.005162,-0.000550,-0.003982,0.000887,-0.005267,0.000837
709.00,-0.004612,-0.007220,0.000509,-0.006616,-0.000304,-0.007266,-0.001407
708.50,-0.003464,-0.005610,0.000814,-0.006478,0.001844,-0.007947,0.000255
708.00,-0.003677,-0.006092,0.000363,-0.004272,-0.000710,-0.004950,-0.000702
707.50,-0.003910,-0.005493,0.000811,-0.004186,0.000689,-0.006477,0.000064
707.00,-0.005789,-0.005982,-0.001086,-0.004613,-0.001067,-0.005739,0.000424
706.50,-0.003559,-0.004398,0.000496,-0.005646,0.000094,-0.005660,-0.000266
706.00,-0.003259,-0.004570,-0.001558,-0.003933,0.000308,-0.005500,-0.000019
705.50,-0.004040,-0.003711,0.000108,-0.005875,0.000402,-0.005181,-0.000185
705.00,-0.003882,-0.005270,-0.000369,-0.005393,-0.000004,-0.004199,0.000545
704.50,-0.002449,-0.005030,0.001913,-0.003671,0.000889,-0.003355,0.000445
704.00,-0.003450,-0.004839,-0.000041,-0.005200,-0.000019,-0.003994,0.000642
703.50,-0.003319,-0.004521,0.000391,-0.005360,0.001341,-0.004792,0.000889
703.00,-0.003503,-0.006472,0.000044,-0.006807,0.000330,-0.004541,-0.000183
702.50,-0.004472,-0.005666,-0.001713,-0.007140,0.000170,-0.005940,-0.001978
702.00,-0.004538,-0.006115,-0.001068,-0.005106,0.000018,-0.006193,-0.001096
701.50,-0.003580,-0.005591,-0.000143,-0.005223,-0.000237,-0.004974,-0.000379
701.00,-0.003420,-0.004080,0.000762,-0.003751,0.000937,-0.004122,0.001300
700.50,-0.003187,-0.005388,-0.000161,-0.004930,0.000740,-0.004465,0.000324
700.00,-0.003975,-0.004757,-0.000951,-0.004059,-0.000255,-0.005590,-0.000280
699.50,-0.004676,-0.005863,-0.000367,-0.005174,-0.000545,-0.005249,-0.000665
699.00,-0.003918,-0.005569,-0.000420,-0.005521,-0.000084,-0.004763,-0.000898
698.50,-0.003520,-0.005148,0.000320,-0.004038,0.000337,-0.004473,-0.000577
698.00,-0.003187,-0.004530,0.000006,-0.004797,0.000967,-0.004702,0.000184
697.50,-0.003119,-0.004200,0.000591,-0.003961,0.000122,-0.004639,-0.000428
697.00,-0.003901,-0.006196,-0.000748,-0.005079,0.000392,-0.004847,-0.001191
696.50,-0.003170,-0.004533,-0.000024,-0.005142,0.000856,-0.005028,-0.000635
